DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2014-08-27,274712.25330,304334.78460,8909
2014-08-28,258066.16940,287168.56610,8400
2014-08-29,594007.21320,660937.80480,19317
2014-08-30,717096.71280,797788.89200,23310
2014-08-31,358170.99630,398562.60740,11646
2014-09-01,594953.63490,662850.99080,19366
2014-09-02,469469.94100,523480.30330,15291
2014-09-03,464067.79930,517180.54330,15100
2014-09-04,312311.95400,348177.12050,10164
2014-09-05,501279.00040,558766.69030,16310
2014-09-06,552703.90380,616169.85140,17985
2014-09-07,234153.76220,261088.38640,7620
2014-09-08,244481.49770,272633.39980,7958
2014-09-09,122749.63530,120070.95020,3503
2014-09-10,78736.40284,77071.54271,2247
2014-09-11,70875.11067,69489.36085,2023
2014-09-12,148634.39140,145956.13970,4242
2014-09-13,171724.82880,168652.20360,4901
2014-09-14,86435.69883,84948.37458,2467
2014-09-15,120236.18270,118094.04320,3432
2014-09-16,83204.19669,81753.42459,2375
2014-09-17,73768.03473,72471.91932,2105
2014-09-18,69425.44512,68280.38328,1982
2014-09-19,137154.95410,135276.90960,3915
2014-09-20,153569.06190,151376.13560,4383
2014-09-21,75633.32059,74546.66825,2159
2014-09-22,90815.92981,89653.63759,2592
2014-09-23,110118.15640,108880.40900,3143
2014-09-24,209908.38310,223554.08660,6457
2014-09-25,358365.68300,382967.98320,11039
2014-09-26,585463.99600,625980.93020,18036
2014-09-27,617019.09150,661010.59130,19017
2014-09-28,283850.59710,304440.65150,8747
2014-09-29,264317.11040,283912.96870,8147
2014-09-30,358024.98130,384823.43990,11036
2014-10-01,594438.28080,639306.56880,18330
2014-10-02,470507.66300,506072.03330,14503
2014-10-03,518693.52870,557939.36930,15986
2014-10-04,656245.82840,705891.30030,20223
2014-10-05,280055.11770,301279.65500,8631
2014-10-06,375648.01750,404178.92110,11579
2014-10-07,78111.71646,74251.87473,2127
2014-10-08,70509.13279,67141.97963,1923
2014-10-09,103281.31100,98065.93908,2809
2014-10-10,179841.43180,170757.58120,4891
2014-10-11,138038.23980,131192.31680,3758
2014-10-12,61037.56223,57992.34151,1661
2014-10-13,86799.75945,82392.33326,2360
